complaint_year,month_number,date_reported,arrest_date,borough,county,offense_category,offense_description,police_description,bias_motive,offense_category,
2019,4,04/26/2019,04/25/2019,BROOKLYN,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,ANTI-BLACK,Race/Color,BKLYN NORTH
2019,4,04/30/2019,04/29/2019,BROOKLYN,QUEENS,FELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL, UNCL 2ND",ANTI-MUSLIM,Religion/Religious Practice,BKLYN NORTH
2019,5,05/14/2019,05/14/2019,BROOKLYN,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MUSLIM,Religion/Religious Practice,BKLYN NORTH
2019,2,02/11/2019,06/27/2019,BROOKLYN,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,6,06/29/2019,06/29/2019,BROOKLYN,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,BKLYN NORTH
2019,6,06/29/2019,07/23/2019,BROOKLYN,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-TRANSGENDER,Gender,BKLYN NORTH
2019,2,02/11/2019,08/28/2019,BROOKLYN,QUEENS,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,BKLYN NORTH
2019,10,10/15/2019,10/15/2019,BROOKLYN,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,BKLYN NORTH
2019,9,09/12/2019,12/16/2019,BROOKLYN,QUEENS,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
2019,9,09/12/2019,12/16/2019,BROOKLYN,QUEENS,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,BKLYN NORTH
